.geo,year,point_id,date,ndvi,savi,evi,rainfall,temp,wind_speed,soil_moisture,bsi,chl,humidity,lswi,ndmi,ndre,psri,vpd
"{""type"": ""Point"", ""coordinates"": [36.42382318077336, 0.6471062068401233]}",2026,0,1/2/2026,0.709388972,1.063885267,1.894527363,0.0,19.94503047,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.22871626162561, 0.22004049106841325]}",2026,3,1/2/2026,0.629545455,0.944184065,1.544896821,0.0,19.81091588,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.14426316794573, -1.3778200050007223]}",2026,24,1/2/2026,0.206185567,0.3092385,0.268781078,0.0,21.57792435,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.33834218045585, -0.17059655715250985]}",2026,27,1/2/2026,0.37320212,0.55973256,0.624419488,0.0,15.25232213,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.055073447974145, -0.5443751612393876]}",2026,36,1/2/2026,0.523118767,0.784559601,1.146357616,0.0,19.64197057,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.41512843928887, -1.3083406362815997]}",2026,77,1/2/2026,0.231304348,0.346906245,0.342283606,0.0,22.50118281,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.9491528588571, -0.9932219942761594]}",2026,86,1/2/2026,0.335494327,0.503173531,0.690306803,0.0,17.97571081,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.08308506107119, -1.0767038544534053]}",2026,87,1/2/2026,0.310280374,0.465348077,0.585400259,0.0,18.24426549,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.397603487163806, -1.0591952623574112]}",2026,94,1/2/2026,0.189032428,0.283511269,0.351367245,0.0,20.85217565,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.942538831785114, -1.3505452282906496]}",2026,96,1/2/2026,0.462780622,0.694034259,1.330690827,0.0,21.25045039,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.26186692439021, -1.4532494457140075]}",2026,110,1/2/2026,0.15502008,0.232498996,0.176718349,3.059775829,25.08956172,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.33271933352177, 0.1481612402286262]}",2026,115,1/2/2026,0.271929825,0.407842126,0.450081134,0.0,17.65808385,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.29434905869176, -0.23646923485503593]}",2026,125,1/2/2026,0.778255034,1.167225876,2.091027121,0.0,15.25232213,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.23036271561658, -1.2424530516175438]}",2026,127,1/2/2026,0.429289755,0.643833464,0.896796218,0.0,20.54545364,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.29040160320115, -0.35559833800430396]}",2026,130,1/2/2026,0.7328,1.09905346,1.853750675,0.0,18.03349075,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.05763555649833, -0.9846644677037987]}",2026,140,1/2/2026,0.106271777,0.159372959,0.148889431,0.0,16.47400182,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.06357016320689, -0.990121864051557]}",2026,146,1/2/2026,0.651760981,0.977448071,2.46852518,0.0,16.47400182,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.22171715210702, -0.4955125509873774]}",2026,165,1/2/2026,0.540653231,0.810838979,1.282135794,0.0,19.81872838,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.01630479056365, -1.041104253802222]}",2026,166,1/2/2026,0.227480916,0.341169287,0.403706513,0.0,16.94462357,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [35.958171922906004, -1.0558778570862752]}",2026,184,1/2/2026,0.262458472,0.393628265,0.526092747,0.0,18.47457148,,0.0,,,,,,,,
